"","experience","wage_h","logwage_h","school","school_father","school_mother","married","male","d_north","d_centre","d_south","d_partime","d_agri","d_indu","d_pa"
"1",20,14.77282,2.692789,13,8,8,1,1,0,0,1,0,0,0,1
"2",17,20.51781,3.021293,13,5,5,1,0,0,0,1,0,0,0,1
"3",32,15.56422,2.744975,18,18,8,1,0,1,0,0,0,0,0,1
"5",35,7.017089,1.948349,5,5,0,1,1,0,0,1,0,0,1,0
"6",24,12.00292,2.48515,13,5,5,1,1,0,0,1,0,0,0,1
"7",12,9.71896,2.274079,13,5,0,1,1,0,0,1,0,0,0,1
"8",28,12.92622,2.559258,18,5,5,1,1,0,0,1,0,0,0,0
"9",20,49.24273,3.896762,13,5,5,1,1,1,0,0,1,1,0,0
"10",20,49.24273,3.896762,13,5,5,1,0,1,0,0,1,1,0,0
"11",20,5.276007,1.66317,5,8,5,0,0,1,0,0,0,0,1,0
"16",25,9.582369,2.259925,8,5,5,1,1,1,0,0,0,0,0,1
"17",7,8.863691,2.181963,8,5,5,1,0,1,0,0,1,0,1,0
"19",25,12.12926,2.495621,13,5,5,1,1,1,0,0,0,0,0,1
"20",17,11.07961,2.405107,13,5,8,1,1,1,0,0,0,0,0,0
"21",23,11.48997,2.441475,13,5,5,1,1,0,0,1,0,0,0,1
"22",10,11.48997,2.441474,13,5,5,1,0,0,0,1,0,0,0,1
"23",18,6.155341,1.81732,11,8,5,1,0,0,0,1,0,0,0,1
"24",24,10.97409,2.395537,18,0,0,1,1,1,0,0,0,0,0,1
"25",23,10.55201,2.356317,18,13,5,1,0,1,0,0,0,0,0,1
"26",25,27.69904,3.321398,18,13,13,1,1,0,0,1,0,0,0,0
"27",30,20.31263,3.011243,13,13,8,1,0,0,0,1,0,0,0,1
"28",25,8.163926,2.099725,5,5,0,1,1,0,0,1,0,0,0,0
"29",28,10.20028,2.322415,5,0,0,1,1,0,0,1,0,0,0,1
"30",2,7.386409,1.999642,8,5,0,1,0,0,0,1,0,0,0,1
"32",30,5.244351,1.657151,5,0,0,1,1,0,0,1,0,0,1,0
"33",20,5.244351,1.657151,5,5,0,1,0,0,0,1,0,1,0,0
"34",12,4.364697,1.473549,8,5,5,0,0,1,0,0,0,0,0,0
"36",18,6.278448,1.837123,13,5,8,0,1,0,1,0,0,0,0,0
"38",10,6.647768,1.894281,5,5,5,1,0,0,1,0,0,0,1,0
"39",25,8.822656,2.177323,13,8,5,1,1,0,0,1,0,0,0,1
"41",21,8.207122,2.105002,13,5,5,1,1,0,0,1,0,0,0,1
"42",23,9.848546,2.287324,13,0,5,1,0,0,0,1,0,0,0,1
"43",38,15.46529,2.738599,5,0,0,1,1,0,1,0,0,0,0,1
"45",12,14.77282,2.692789,8,0,0,1,1,0,0,1,0,0,1,0
"47",6,6.565697,1.881859,16,13,13,1,0,1,0,0,0,0,0,1
"48",28,14.03418,2.641496,11,5,5,1,1,0,1,0,0,0,1,0
"50",17,13.44327,2.598478,5,5,5,0,0,1,0,0,1,0,0,0
"53",24,12.31068,2.510467,13,8,8,1,1,1,0,0,0,0,1,0
"54",10,7.738143,2.046162,13,13,8,1,0,1,0,0,1,0,0,0
"55",15,6.155341,1.81732,8,5,5,1,1,0,0,1,0,0,0,0
"56",16,10.2589,2.328146,13,0,5,1,0,0,0,1,0,0,0,1
"57",7,4.431846,1.488816,5,5,0,1,1,0,0,1,0,0,0,0
"58",32,6.331208,1.845491,5,5,5,1,1,0,0,1,0,0,0,0
"59",4,8.01953,2.08188,5,5,5,1,0,1,0,0,0,0,0,0
"60",20,10.34097,2.336114,8,5,5,1,1,1,0,0,0,0,0,1
"64",28,10.69552,2.369825,18,5,5,1,1,1,0,0,0,0,1,0
"65",29,8.568234,2.148062,13,13,8,1,1,1,0,0,0,0,1,0
"66",17,6.463109,1.86611,5,8,8,1,1,1,0,0,0,0,0,0
"68",33,10.08245,2.310796,13,13,8,1,1,1,0,0,0,0,1,0
"70",25,9.602332,2.262006,8,5,5,1,1,1,0,0,0,0,1,0
"71",15,9.602332,2.262006,5,5,5,1,0,1,0,0,0,0,1,0
"72",30,8.738123,2.167695,8,5,5,1,0,1,0,0,0,0,1,0
"74",23,17.96694,2.888534,13,5,5,1,1,0,1,0,0,0,0,0
"75",17,15.55034,2.744082,13,18,18,1,1,0,1,0,0,0,0,1
"77",40,29.54564,3.385936,13,18,13,1,1,0,0,1,0,0,0,0
"78",20,9.285771,2.228483,13,18,13,1,0,0,0,1,0,0,0,1
"81",10,6.331208,1.845491,5,0,0,0,1,0,0,1,0,0,0,0
"82",15,6.446321,1.86351,5,0,0,1,1,0,0,1,0,0,0,0
"83",22,17.19019,2.844339,13,8,5,1,1,1,0,0,0,0,1,0
"84",24,9.848546,2.287324,13,5,5,1,0,1,0,0,0,0,0,1
"87",33,7.38641,1.999642,8,5,5,1,0,0,0,1,0,0,0,1
"88",16,11.66275,2.4564,13,8,8,1,1,0,0,1,0,0,0,1
"89",9,25.60622,3.242835,18,5,5,1,0,0,0,1,0,0,0,1
"90",26,17.13647,2.841209,13,0,5,0,1,0,1,0,0,0,1,0
"91",27,4.431846,1.488816,8,8,0,1,0,0,1,0,0,0,0,0
"95",35,7.386409,1.999642,5,0,0,1,1,0,0,1,0,0,0,1
"98",40,17.23496,2.84694,13,5,0,1,1,1,0,0,0,0,0,1
"99",22,11.36371,2.430425,13,5,8,1,1,1,0,0,0,0,0,0
"100",10,6.753289,1.91003,13,5,5,1,0,1,0,0,1,0,0,0
"106",34,17.96694,2.888534,13,5,5,1,1,1,0,0,0,0,0,0
"108",25,11.90033,2.476566,8,8,13,1,1,1,0,0,0,0,0,1
"109",22,10.05372,2.307943,13,8,8,1,0,1,0,0,0,0,0,0
"110",23,12.66242,2.538638,13,5,5,1,0,1,0,0,0,0,0,1
"111",13,15.18318,2.720188,18,5,8,0,0,1,0,0,0,0,0,1
"113",23,9.233012,2.222785,11,5,5,1,0,1,0,0,0,0,1,0
"114",22,6.893982,1.879356,8,0,0,0,1,1,0,0,0,0,1,0
"115",24,11.73618,2.462677,8,5,5,1,1,1,0,0,0,0,0,1
"117",35,7.017089,1.948349,0,0,0,1,1,1,0,0,0,0,0,0
